temperatura_real,temperatura_predicha
11.0,11.004693546778851
9.0,8.99702719519576
9.0,9.007487520619007
10.0,10.084336672665241
10.0,9.947301024625247
8.0,8.029396112277883
10.0,9.89771242294522
12.0,11.987444213901467
14.0,13.922161453182188
16.0,15.991085391130872
18.0,18.005341819186256
19.0,19.058102917413517
20.0,19.941504901752406
21.0,21.06804854792898
22.0,22.01975078566921
22.0,21.961082073399325
21.0,20.978692903175013
18.0,18.09937514681961
17.0,16.99553778693235
14.0,14.182310774861213
13.0,13.027998428582864
13.0,13.025804444408637
12.0,11.966398978885072
12.0,11.992780560709882
11.0,11.002398713951852
11.0,11.039582400581507
11.0,11.034875617528154
10.0,10.000065279631873
10.0,10.007610653010044
10.0,10.026547905750933
10.0,10.027038992133864
11.0,11.021536791287954
13.0,12.987180893525409
14.0,13.871594036782575
16.0,15.982551127417203
18.0,18.005116191666584
19.0,19.05378846766586
18.0,18.046638347803775
19.0,19.043600463561425
18.0,18.046775395601358
18.0,18.01669150276732
15.0,15.016828515453186
15.0,15.071822806561766
13.0,12.892111522403482
12.0,11.96741046800761
12.0,11.995945113273109
11.0,11.002365843139424
10.0,10.00032708628237
10.0,10.007426156361724
10.0,10.026547905750933
9.0,8.999441099119627
7.0,7.015226874512265
6.0,6.0015682453735835
6.0,5.998042595313679
8.0,7.948166226373585
10.0,9.832016746458512
12.0,12.004516473875976
14.0,13.920288976355076
15.0,14.814454577783462
17.0,17.113703500356998
17.0,16.974986802133937
20.0,20.010213334041854
20.0,19.968042971164362
20.0,19.97642180635454
19.0,18.992360630306255
17.0,17.18332094754101
17.0,17.11490812306427
15.0,14.97653040409205
14.0,14.013605940997795
13.0,13.025403886349194
13.0,13.02263989184541
11.0,11.017061437146372
10.0,10.002281655371887
9.0,8.993952729541254
8.0,8.01508895657466
8.0,8.020839940781116
7.0,7.015558596166857
7.0,7.009238526615327
6.0,5.9916522296021455
7.0,6.944324721589948
7.0,6.779537028917996
12.0,12.597027550689408
16.0,15.56135245267612
18.0,18.008346392853568
18.0,18.02690213693783
21.0,20.979041798108025
21.0,20.978658276143456
21.0,20.98895151945453
20.0,19.916407250331655
18.0,18.004598557039408
17.0,17.000089822877115
16.0,15.981885407193952
15.0,14.961392515275627
12.0,11.961362883598287
12.0,11.993816434501564
11.0,10.994752709352355
8.0,8.023080582775634
10.1,10.029584897367075
8.0,8.051455907863154
6.0,6.007628891883937
6.0,6.009368509393249
5.0,5.008542460884982
7.0,6.493582772782535
9.0,8.895298538726232
13.0,12.781735726317306
15.0,14.886864635576455
18.0,18.054080235261488
20.0,20.03979030647301
21.0,21.067788626186033
21.0,20.99466350867532
21.0,20.98899463729267
21.0,20.98899463729267
19.0,18.98294692021468
18.0,17.97509960273223
17.0,16.998004777011964
16.0,15.981885407193952
16.0,15.969617361801339
15.0,15.012663482054533
15.0,15.007927511364032
13.0,12.889427958661008
11.0,11.01272414110115
10.0,9.995992209735448
10.0,10.010259826160603
8.0,8.024460208758985
8.0,8.028459073415037
8.0,8.011358336643928
9.0,8.971288100424267
12.0,12.107521982075825
12.0,11.913497885232374
15.0,15.23019417964894
19.0,19.013399215619085
20.0,19.93540709057745
21.0,21.06604583596929
23.0,23.01601688431955
22.0,22.15501893945894
21.0,20.963004538308663
