temperatura_real,temperatura_predicha
15.0,15.006019251506123
14.0,13.989137646146588
13.0,13.005893816433725
12.9,12.900752399644782
12.9,12.921091505690862
13.0,12.960719119685463
13.0,13.022944122488353
14.0,14.045671192451886
14.0,14.006216029384712
15.0,14.947419506377589
16.0,16.0125146684176
18.0,17.98945666453315
19.0,18.999920198026587
21.0,21.063271836891506
21.0,20.994833082984762
21.0,20.967506019828246
20.0,19.995986548370052
20.0,19.99691653282266
17.0,17.049816945856957
18.0,18.164866022059613
16.0,16.00120391950379
16.0,16.001742864975505
15.0,15.003885268007673
15.0,15.00632880520093
14.0,13.989197615769045
14.0,14.005288839879292
13.0,13.00412550997051
13.0,13.010398079223998
13.0,13.017750393822146
13.0,13.017999977894496
12.0,12.015884582434587
14.0,13.99222000799128
15.0,14.947415881068839
17.0,17.03302145527666
18.0,18.054344552744574
19.0,18.998841621714508
20.0,20.000876447141117
20.0,19.960878746803573
18.0,18.002786160770444
17.0,16.990175834708804
16.0,16.002119918024235
17.0,16.90888216100398
16.0,16.00567736212674
15.0,15.00410444466262
14.0,13.989251858305588
14.0,14.004979286184485
14.0,14.001816926814568
14.0,14.001816926814568
13.0,13.004065540348053
13.0,13.010338109601541
13.0,13.01730517757231
14.0,14.045611222829429
13.0,13.011444384928186
11.0,10.97133388637966
13.0,12.927692534442306
15.0,15.022783391595315
17.0,17.032957860345455
19.0,18.992127606991446
20.0,20.000349335724078
21.0,21.02265474048248
22.0,22.053453060531297
23.0,22.971188914231874
22.0,22.105349031801666
21.0,20.968466488590064
19.0,18.957471202434185
18.0,18.004418318318674
18.0,17.99798341806001
17.0,16.99393378865005
16.0,16.000356289877224
16.0,16.00188631284256
15.0,15.004144128815591
15.0,15.006373600577225
15.0,15.005676059413574
15.0,15.004761445982549
14.0,13.989432025595233
13.0,13.00593861181002
13.0,13.010382904977837
13.0,13.017349972948605
13.0,13.018310422746756
14.0,14.045656018205724
16.0,15.995390828232885
18.0,17.989283858539245
19.0,19.0009162338179
20.0,20.001827687556137
21.0,21.024615408355285
23.0,23.041932963782646
23.0,23.014040968489596
23.0,23.00114648681192
21.0,20.951405138414056
20.0,20.000927699462945
20.0,19.998383108726852
18.0,18.00121038633441
17.0,16.992356039303893
17.0,17.014487607768235
17.0,17.016009008429197
17.0,17.016009008429197
16.0,16.007314375262812
16.0,16.002715985496035
15.0,15.003434258567449
14.0,13.98910869244926
14.0,14.004794202256836
14.0,14.00115640075065
